00016468 02 r 03 even 1 yet 3 still 0 000 | to a greater degree or extent; used with comparisons; "looked sick and felt even worse"; "an even (or still) more interesting problem"; "still another problem must be solved"; "a yet sadder tale" &%SubjectiveAssessmentAttribute+  
00016710 02 r 02 even_as 1 just_as 2 000 | at the same time as; "even as he lay dying they argued over his estate"; "the building collapsed just as he arrived" &%cooccur+  
00016872 02 r 01 even 3 000 | in spite of; notwithstanding; "even when he is sick, he works"; "even with his head start she caught up with him" &%SubjectiveAssessmentAttribute+  
00017018 02 r 01 even 4 000 | to the full extent; "loyal even unto death" &%SubjectiveAssessmentAttribute+  
00017094 02 r 01 e'en 0 000 | even &%SubjectiveAssessmentAttribute+  
00017131 02 r 04 rather 4 kind_of 0 kinda 0 sort_of 0 000 | to some (great or small) extent; "it was rather cold"; "the party was rather nice"; "the knife is rather dull"; "I rather regret that I cannot attend"; "He's rather good at playing the cello"; "he is kind of shy" &%SubjectiveAssessmentAttribute+  
00017406 02 r 02 pretty 0 jolly 0 000 | intensifier, as in "pretty big"; "pretty bad"; (`jolly' is used informally in Britain as in "jolly decent of him") &%SubjectiveAssessmentAttribute+  
00017563 02 r 01 quite 1 000 | to the greatest extent; completely; "you're quite right"; "she was quite alone"; "was quite mistaken"; "quite the opposite"; "not quite finished"; "did not quite make it" &%SubjectiveAssessmentAttribute+  
00017767 02 r 02 quite 2 rather 0 000 | to a degree (not used with a negative); "quite tasty"; "quite soon"; "quite ill"; "quite rich" &%SubjectiveAssessmentAttribute+  
00017904 02 r 03 quite 3 quite_a 0 quite_an 0 000 | of an unusually noticeable or exceptional or remarkable kind (not used with a negative); "her victory was quite something"; "she's quite a girl"; "quite a film"; "quite a walk"; "we've had quite an afternoon" &%SubjectiveAssessmentAttribute+  
00018167 02 r 01 quite 4 000 | actually or truly or to an extreme; "was quite a sudden change"; "it's quite the thing to do"; "quite the rage"; "Quite so!" &%SubjectiveAssessmentAttribute+  
00018325 02 r 03 always 0 ever 0 e'er 0 001 ! 00019520 r 0201 | at all times; all the time and on every occasion; "I will always be there to help you"; "always arrives on time"; "there is always some pollution in the air"; "ever hoping to strike it rich"; "ever busy" &%forall+  
00018595 02 r 01 always 1 000 | forever; throughout all time; "we will always be friends"; "I shall treasure it always"; "I will always love you" &%forall+  
00018743 02 r 01 always 2 000 | at any time or in any event; "you can always resign if you don't like it"; "you could always take a day off" &%forall+  
00018886 02 r 02 always 3 forever 3 000 | seemingly without interruption; often and repeatedly; "always looking for faults"; "it is always raining"; "he is forever cracking jokes"; "they are forever arguing" &%forall+  
00019096 02 r 01 constantly 1 001 \ 00562853 a 0102 | without interruption; "the world is constantly changing" &%forall+  
00019209 02 r 02 constantly 2 perpetually 2 002 \ 00560290 a 0202 \ 00559995 a 0101 | seemingly uninterrupted; "constantly bullied by his big brother"; "was perpetually answering the doorbell" &%forall+  
00019404 02 r 01 constantly 3 001 \ 02385304 a 0102 | without variation or change; "constantly kind and gracious" &%SubjectiveAssessmentAttribute+  
00019520 02 r 02 never 0 ne'er 0 001 ! 00018325 r 0102 | not ever; at no time in the past or future; "I have never been to China"; "I shall never forget this day"; "had never seen a circus"; "never on Sunday"; "I will never marry you!" &%not+  
00019758 02 r 01 never 1 000 | not at all; certainly not; not in any circumstances; "never fear"; "bringing up children is never easy"; "that will never do"; "what is morally wrong can never be politically right" &%not+  
00019973 02 r 02 ways 0 n-ways 0 000 | n is between 2 and infinity; "They split the loot four ways" &%PositiveInteger+  
00020075 02 r 07 occasionally 0 on_occasion 0 once_in_a_while 0 now_and_then 0 now_and_again 0 at_times 0 from_time_to_time 0 001 \ 01014446 a 0101 | now and then or here and there; "he was arrogant and occasionally callous"; "open areas are only occasionally interrupted by clumps of trees"; "they visit New York on occasion"; "now and again she would take her favorite book from the shelf and read to us"; "as we drove along, the beautiful scenery now and then attracted his attention" &%SubjectiveAssessmentAttribute+  
00020565 02 r 01 sometime 0 000 | at some indefinite or unstated time; "let's get together sometime"; "everything has to end sometime"; "It was to be printed sometime later" &%exists+  
00020741 02 r 01 sometimes 1 000 | on certain occasions or in certain cases but not always; "sometimes she wished she were back in England"; "sometimes her photography is breathtaking"; "sometimes they come for a month; at other times for six months" &%exists+  
00020994 02 r 03 equally 1 as 0 every_bit 0 001 \ 00845976 a 0101 | (often followed by `as') to the same degree; "they were equally beautiful"; "birds were singing and the child sang as sweetly"; "sang as sweetly as a nightingale"; (`every bit' is informal as in "he is every bit as mean as she is") &%equal+  
00021296 02 r 03 long_ago 0 long_since 1 lang_syne 0 000 | of the distant or comparatively distant past; "We met once long ago"; "they long ago forsook their nomadic life"; "left for work long ago"; "he has long since given up mountain climbing"; "This name has long since been forgotten"; "lang syne" is Scottish &%PastFn+  
00021612 02 r 01 pretty_much 0 000 | to some degree; "we were pretty much lost when we met the forest ranger" &%SubjectiveAssessmentAttribute+  
00021724 02 r 02 much 1 practically 2 000 | (degree adverb used before a noun phrase) for all practical purposes but not completely; "much the same thing happened every time" &%SubjectiveAssessmentAttribute+  
00021901 02 r 01 that_much 0 000 | to a certain degree; "we will be that much ahead of them" &%SubjectiveAssessmentAttribute+  
00021996 02 r 01 palmately 0 001 \ 02088676 a 0101 | in a palmate manner; "palmately cleft" &%ShapeAttribute+  
00022090 02 r 01 paradoxically 0 001 \ 00892717 a 0101 | in a paradoxical manner; "paradoxically, ice ages seem to occur when the sun gets hotter" &%SubjectiveAssessmentAttribute+  
00022239 02 r 01 parasitically 0 001 \ 00690927 a 0101 | in a parasitic manner &%Organism+  
00022320 02 r 01 conventionally 0 002 ! 00022467 r 0101 \ 00572731 a 0101 | in a conventional manner; "he usually behaves rather conventionally" &%SubjectiveAssessmentAttribute+  
00022467 02 r 01 unconventionally 0 002 ! 00022320 r 0101 \ 00573793 a 0101 | in an unconventional manner; "she always behaves rather unconventionally" &%SubjectiveAssessmentAttribute+  
00022621 02 r 01 pathogenically 0 001 \ 01120447 a 0103 | in a pathogenic manner &%capability+  
00022704 02 r 01 pictorially 0 001 \ 02650222 a 0101 | in a pictorial manner; "depth is established pictorially" &%Icon+  
00022819 02 r 01 not 0 000 | negation of a word or group of words; "he does not speak French"; "she is not going"; "they are not friends"; "not many"; "not much"; "not at all" &%not= 
00022997 02 r 01 n't 0 000 | contraction of `not'; combining form; "isn't" &%not+  
00023074 02 r 01 no 0 000 | used to express refusal or denial or disagreement etc or especially to emphasize a negative statement; "no, you are wrong" &%not+  
00023227 02 r 01 any 0 000 | to any degree or extent; "it isn't any better" &%forall+  
00023305 02 r 01 no 1 000 | not in any degree or manner; not at all; "he is no better today" &%not=  
00023400 02 r 01 none 0 000 | not at all or in no way; "seemed none too pleased with his dinner"; "shirt looked none the worse for having been slept in"; "none too prosperous"; "the passage is none too clear" &%not+  
00023611 02 r 01 neither 0 000 | after a negative statement used to indicate that the next statement is similarly negative; "I was not happy and neither were they"; "just as you would not complain, neither should he" &%not+  
00023830 02 r 01 either 0 000 | after a negative statement used as an intensive meaning something like `likewise' or `also'; "he isn't stupid, but he isn't exactly a genius either"; "I don't know either"; "if you don't order dessert I won't either" &%SubjectiveAssessmentAttribute+  
00024081 02 r 01 not_only 0 000 | (used to introduce the first phrase of a correlative construction and usually followed by `but') "not only was he poor, but..." &%and+  
00024245 02 r 03 bloody 0 damn 0 all-fired 0 000 | (intensifier) "you are bloody right"; "Why are you so all-fired aggressive?" &%SubjectiveAssessmentAttribute+  
00024375 02 r 02 anywhere 0 anyplace 0 000 | at or in or to any place; "you can find this food anywhere"; (`anyplace' is used informally for `anywhere') &%forall+  
00024530 02 r 01 nowhere 0 000 | not anywhere; in or at or to no place; "I am going nowhere" &%not+  
00024625 02 r 02 somewhere 0 someplace 0 000 | in or at or to some place; "she must be somewhere"; (`someplace' is used informally for `somewhere') &%exists+  
00024775 02 r 03 everywhere 0 everyplace 0 all_over 0 000 | to or in any or all places; "You find fast food stores everywhere"; "people everywhere are becoming aware of the problem"; "he carried a gun everywhere he went"; "looked all over for a suitable gift"; (`everyplace' is used informally for `everywhere') &%forall+  
00025089 02 r 01 high_and_low 0 000 | everywhere; "searched high and low" &%forall+  
00025165 02 r 05 somehow 0 someway 0 someways 0 in_some_way 0 in_some_manner 0 000 | in some unspecified way or manner; or by some unspecified means; "they managed somehow"; "he expected somehow to discover a woman who would love him"; "he tried to make is someway acceptable" &%exists+  
00025444 02 r 02 somehow 1 for_some_reason 0 000 | for some unspecified reason; "It doesn't seem fair somehow"; "he had me dead to rights but somehow I got away with it"; "for some reason they didn't seem to match" &%exists+  
00025661 02 r 05 anyhow 0 anyway 0 in_any_case 0 at_any_rate 0 in_any_event 0 000 | used to indicate that a statement explains or supports a previous statement; "Anyhow, he is dead now"; "I think they're asleep; anyhow, they're quiet"; "I don't know what happened to it; anyway, it's gone"; "anyway, there is another factor to consider"; "I don't know how it started; in any case, there was a brief scuffle"; "in any event, the government faced a serious protest"; "but at any rate he got a knighthood for it" &%SubjectiveAssessmentAttribute+  
00026173 02 r 01 as_it_is 0 000 | in the actual state of affairs and often contrary to expectations; "he might have been killed; as it is he was severely injured" &%True+  
00026338 02 r 02 anyhow 1 anyway 1 000 | in any way whatsoever; "they came anyhow they could"; "get it done anyway you can" &%forall+  
00026464 02 r 09 however 0 nevertheless 0 withal 1 still 4 yet 6 all_the_same 0 even_so 0 nonetheless 0 notwithstanding 0 000 | despite anything to the contrary (usually following a concession); "although I'm a little afraid, however I'd like to try it"; "while we disliked each other, nevertheless we agreed"; "he was a stern yet fair master"; "granted that it is dangerous, all the same I still want to go" &%and+  
00026875 02 r 01 yet 2 000 | up to the present time; "I have yet to see the results"; "details are yet to be worked out" &%PastFn+  
00026998 02 r 09 so_far 0 thus_far 0 up_to_now 0 hitherto 0 heretofore 0 as_yet 0 yet 4 til_now 0 until_now 0 000 | used in negative statement to describe a situation that has existed up to this point or up to the present time; "So far he hasn't called"; "the sun isn't up yet" &%PastFn+  
