;; A mapping for multi-word expressions that correspond to Amenities in Hotels
;; It follows the pattern of the WN->SUMO mappings
;; An explanation of synsets data format is in http://wordnet.princeton.edu/man/wndb.5WN.html. 
;; A record is of the form:
;; synset_offset  lex_filenum  ss_type  w_cnt  word  lex_id  [word  lex_id...]  p_cnt  [ptr...]  [frames...]  |   gloss &%SUMOconcept symbol(+,=) 
;; examples:
;; 00001740 03 n 01 entity 0 003 ~ 00001930 n 0000 ~ 00002137 n 0000 ~ 04424418 n 0000 | that which is perceived or known or inferred to have its own distinct existence (living or nonliving) &%Entity=
;; 04371430 06 n 02 swimming_trunks 0 bathing_trunks 0 002 @ 04371563 n 0000 ;u 06295235 n 0000 | swimsuit worn by men while swimming &%Clothing+
;; we also list the amenities that are already part of the WN->SUMO mapping to check them
;; Preliminary version Oct 20, 2011  Valeria de Paiva (lexicographer 99)  
;; This work is released under the GNU Public License http://www.gnu.org/copyleft/gpl.html>. 
;; Content repeated from WordNet is governed by the WordNet license 

15300511 99 n 03 wireless_internet_connection 0 wireless_connection 0 wireless_internet 0 000 | an internet connection that does not use cables to connect to the internet access point &%WirelessInternetConnection=
15300521 99 n 03 whirlpool_tub 0 jacuzzi 0 hot_tub 0 000 | a tub used by humans for relaxation with jets used to create water currents to massage the body &%WhirlpoolTub=
15300531 99 n 02 whiteboard 0 white_board 0 000 | a flat surface where information can be encoded using erasable pens &%Whiteboard=
15300541 99 n 02 valet_laundry_service 0 pick_up_laundry_service 0 000 | picking up clothing, performing laundry service, and then delivering it back to customer &%ValetLaundryService=
04533802 06 n 02 videocassette_recorder 0 VCR 0 001 @ 04393095 n 0000 | a magnetic tape recorder for recording (and playing back) TV programs &%VCRSystem=
15300551 99 n 01 video_check_out 0 000 | type of self-service check-out where a video display in a person's hotel unit is used to do check-out service &%VideoCheckOut=
15300561 99 n 03 video_game_player 0 video_game_console 0 videogame_player video_game_system 0 000 |  a media system that enables the playing of a video game &%VideoGamePlayer=
06272612 10 n 02 voice_mail 0 voicemail 0 001 @ 06272290 n 0000 | a computerized system for answering and routing telephone calls; telephone messages can be recorded and stored and relayed &%VoiceMail=
07574602 13 n 01 breakfast 0 005 @ 07573696 n 0000 + 01185875 v 0101 + 01185740 v 0101 ~ 07574780 n 0000 ~ 08385989 n 0000 | the first meal of the day (usually in the morning) &%Breakfast=
15300571 99 n 03 breakfast_buffet 0 breakfast_self_service 0 breakfast_selfservice 0 000 | a type of buffet that serves breakfast food &%BreakfastBuffet=
15300581 99 n 01 continental_breakfast 0 000 | a breakfast consisting of simply coffee or tea and a roll, as usual in the Continent of Europe &%ContinentalBreakfast=
07575726 13 n 01 dinner 0 004 @ 07573696 n 0000 + 01167780 v 0101 + 01167981 v 0101 ~ 07575392 n 0000 | the main meal of the day served in the evening or at midday; "dinner will be at 8"; "on Sundays they had a large dinner when they returned from church" &%Dinner=
15300591 99 n 02 full_board 0 all_inclusive 0 000 | an arrangement in which a traveler accommodation provides breakfast, lunch, and dinner &%FullBoard=
15300601 99 n 01 golf_package 0 000 | a type of hotel package that includes Golfing &%GolfPackage=
15300611 99 n 01 half_board 0 000 | an arrangement in which a hotel or traveler accommodation provides breakfast and dinner, but no meal at lunchtime &%HalfBoard=
07575076 13 n 04 lunch 0 luncheon 0 tiffin 0 dejeuner 0 004 @ 07573696 n 0000 + 01185475 v 0101 + 01185304 v 0101 ~ 07575226 n 0000 | a midday meal &%Lunch=
15300611 99 n 01 meal_plan_breakfast 0 000 | an arrangement in which a hotel or traveler accommodation provides a breakfast &%MealPlanBreakfast=
15300621 99 n 01 meal_plan_caribbean 0 000 | an arrangement where some meals are provided for by the traveler accommodation &%MelaPlanCaribbean=
15300631 99 n 01 meal_plan_continental 0 000 | arrangement in which a traveler accommodation provides a continental breakfast &%MealPlanContinental=
15300641 99 n 01 meal_plan_european 0 000 | an arrangement where no meals are provided for by the traveler accommodation &%MealPlaneuropean=
15300651 99 n 01 meal_plan_modified_american 0 000 |  an arrangement in which a hotel provides 2 meals, breakfast and either lunch or dinner &%MealPlanModifiedAmerican=
15300661 99 n 03 water_park_ticket 0 water_park_pass 0 waterpark_ticket 0 000 |  ticket that gives a person entry to a water theme park &%WaterParkTicket=
15300671 99 n 02 with_housekeeping_policy 0 cleaning_policy 0 000 | some room cleaning is  done during the duration of a guest stay at a traveler accommodation &%WithHousekeepingPolicy=
15300681 99 n 02 no_housekeeping_policy 0 no_cleaning_policy 0 000 |  room cleaning is not done for the duration of a guest stay at a traveler accommodation &%NoHousekeepingPolicy=
15300691 99 n 02 no_smoking_policy 0 no_smoking 0 000 | a policy decreeing that smoking is not allowed within a specific location &%NoSmokingPolicy=
15300701 99 n 01 daily_housekeeping_policy 0 000 |  room cleaning is done at least once a day for the duration of a guest stay &%DailyHousekeepingPolicy=
15300711 99 n 01 adjoining_room 0 000 | a room with another room adjacent to it, and a door on their common wall to allow access from one room to another &%AdjoiningRoom=
15300721 99 n 01 annex_room 0 000 | annex room is a hotel room that is not located in the main building of a hotel &%AnnexRoom=
